"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","CommonGeneName"
"ENSG00000164326",1970.40310224301,-6.78111315968905,0.722321674005783,-9.3879408630825,6.11846672082345e-21,1.39323605699871e-17,0.00909246284272656,"CARTPT"
"ENSG00000176566",11.9549306981843,-5.15748463762549,0.896695107353246,-5.75165917080635,8.83718227935793e-09,9.53703685702652e-07,0.0280183413413633,"DCAF4L2"
"ENSG00000135413",104.372527449132,-4.62839727176919,0.637457084873626,-7.26071979055147,3.85035843210394e-13,2.02955702238481e-10,0.04043091679668,"LACRT"
"ENSG00000198077",232.266427034081,-4.43094501174716,0.405397125362769,-10.9298875954834,8.29511114014855e-28,9.44439878861613e-24,0.0463609836955478,"CYP2A7"
"ENSG00000214415",6.58910071182618,-4.35590443453664,0.805986907280605,-5.40443572369362,6.50127310526331e-08,4.86975295657733e-06,0.0488362273608196,"GNAT3"
"ENSG00000096006",4345.65126092449,-4.19220888029917,0.419706226831472,-9.98843622585209,1.71262111020161e-23,5.57115647148584e-20,0.0547040372199282,"CRISP3"
"ENSG00000265933",56.114950137411,-4.13439053761268,0.53970467627845,-7.66046825112115,1.85256384482744e-14,1.3607977842118e-11,0.0569409140453582,"LINC00668"
"ENSG00000206737",3.68113685318822,-3.9068914008485,1.51371593897267,-2.58099376525032,0.00985163609704268,0.043024857223966,0.0666666294566888,"RNVU1-18"
"ENSG00000236117",10.9558188965467,-3.82547995932126,0.659644733445997,-5.79930342100494,6.65909486349431e-09,7.65829541094085e-07,0.0705368050393899,"LINC01639"
"ENSG00000109424",43.7541908433342,-3.71254918300925,0.359715639827312,-10.3207889008983,5.67548908863334e-25,4.30788540124232e-21,0.0762801143710324,"UCP1"
"ENSG00000113327",7.8588425091948,-3.59528035363073,0.694489252884993,-5.17686967609001,2.25639714833929e-07,1.28130721857441e-05,0.0827394768785969,"GABRG2"
"ENSG00000063015",60.4887916790322,-3.45392511298944,0.338076429765813,-10.2164031825052,1.67438807930776e-24,9.53187273847927e-21,0.0912567374721662,"SEZ6"
"ENSG00000099399",6.93252065250541,-3.32908553411371,0.614700881522914,-5.41578129165187,6.10216546623023e-08,4.64780257018985e-06,0.0995051127402281,"MAGEB2"
"ENSG00000149972",38.7184258062892,-3.27824177626627,0.402644759104592,-8.14177187741492,3.89534669763855e-16,3.41157460199721e-13,0.103074418243907,"CNTN5"
"ENSG00000255974",1199.26991347444,-3.24488297543116,0.369967258514449,-8.770730113958,1.77511458933435e-18,2.52632089460828e-15,0.105485530654416,"CYP2A6"
