"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","CommonGeneName"
"ENSG00000170893",1192.17079665772,4.74124164155958,0.39407160205682,12.0314217436961,2.42940807048403e-33,5.53200511729919e-29,26.7458220527629,"TRH"
"ENSG00000147256",383.00685499489,4.40550915414911,0.458057417055496,9.61780988608107,6.7247702020815e-22,1.70144158079553e-18,21.1929006189455,"ARHGAP36"
"ENSG00000165566",29.2675135475976,4.26624215906863,0.467404234895238,9.1275214055877,7.00854564031159e-20,1.22762763673489e-16,19.2427376409171,"AMER2"
"ENSG00000101204",19.7269217381151,3.69662465305401,0.448156837550463,8.24850664615323,1.60386100874305e-16,1.521729959587e-13,12.9656681926358,"CHRNA4"
"ENSG00000196361",14.9513650508594,3.3785073839145,0.333720139893259,10.1237743247834,4.33374186450892e-24,1.64472726661221e-20,10.3999694397902,"ELAVL3"
"ENSG00000185559",1487.77352707141,3.26264442744629,0.530448399589991,6.1507291377788,7.71275409494597e-10,1.37208690231261e-07,9.5974053514688,"DLK1"
"ENSG00000254251",12.3683931669485,3.07586039287269,0.462270872367647,6.65380532655848,2.85610399821838e-11,7.74242192183699e-09,8.43191540483879,"AC103770.1"
"ENSG00000198889",5.45512093366283,3.03594795981205,0.581705806262368,5.21904359064062,1.79849434602345e-07,1.08056767159103e-05,8.20184204494908,"DCAF12L1"
"ENSG00000275896",142.554979136714,2.58425924318031,0.383614670039999,6.73660171262704,1.6213381053542e-11,4.79473896065201e-09,5.99707594684896,"PRSS2"
"ENSG00000077279",199.412662584948,2.45650776096811,0.338895407426915,7.24857199930591,4.21188521348069e-13,2.13130751547042e-10,5.48886463728045,"DCX"
"ENSG00000069482",221.771641235479,2.36225434306895,0.233241817308039,10.1279194714434,4.15393666562056e-24,1.64472726661221e-20,5.14173174279029,"GAL"
"ENSG00000227234",11.8603723133696,2.2722527822101,0.487299563326388,4.66294852944116,3.11710735319999e-06,9.9615565300303e-05,4.83076871627206,"SPANXB1"
"ENSG00000127324",486.685695482617,2.1983031031883,0.356616878667471,6.16432713841936,7.0783473184132e-10,1.2894483743007e-07,4.58939220453168,"TSPAN8"
"ENSG00000240521",132.506801599401,2.18770242095891,0.532794346900505,4.10609165372291,4.02409864621842e-05,0.000696826998274065,4.55579370628842,"AC092979.1"
"ENSG00000224607",24.7983551359999,2.18533206885677,0.368193173262407,5.9352867667085,2.93332335677759e-09,4.07284793641357e-07,4.54831466984574,"IGKV1D-27"
"ENSG00000152208",5.21291404748235,2.16316712994906,0.37193046895324,5.81605248969538,6.02535532115634e-09,7.10898269523581e-07,4.47897039381368,"GRID2"
"ENSG00000181355",15.3143785124415,2.07406390905911,0.4629926221453,4.47969105738409,7.47511543389339e-06,0.000196980463526938,4.21071114240606,"OFCC1"
"ENSG00000231817",39.2320795237778,2.0222974578362,0.312561747438458,6.47007343160051,9.79553026846705e-11,2.14475018983907e-08,4.06230189091153,"LINC01198"
"ENSG00000240103",3.87528537961251,2.01838943976668,0.305370338501257,6.60964470116136,3.85243498604296e-11,1.00831950651936e-08,4.05131268941662,"AC132825.1"
"ENSG00000204983",49.4145611524312,1.96778601024242,0.461796323539738,4.26115564359422,2.03372531289357e-05,0.00041533595605291,3.91167364629867,"PRSS1"
"ENSG00000182348",11.1310167356772,1.93428943153634,0.531989777788032,3.63595225378004,0.000276955630848316,0.00301028957997471,3.82189841273622,"ZNF804B"
"ENSG00000171209",1885.75305079992,1.92645800115293,0.648269604587693,2.9716926222049,0.00296163028141944,0.0176496422764204,3.80120807988219,"CSN3"
"ENSG00000204019",83.2682260081136,1.88666652059652,0.667193497885357,2.82776514845578,0.00468741800879658,0.0248457158934607,3.69779826645033,"CT83"
"ENSG00000105825",1134.49149977298,1.83273910143536,0.288853608323825,6.34487175725614,2.22610805300525e-10,4.33253901495578e-08,3.56212736512914,"TFPI2"
"ENSG00000263639",1303.29776720625,1.82684596159142,0.33783879804987,5.40744867711065,6.39288532772836e-08,4.80436936626081e-06,3.54760641787764,"MSMB"
"ENSG00000224244",20.3792187177472,1.82621263412701,0.406905554519325,4.48805039362096,7.18779286561262e-06,0.000190761341891451,3.54604939894696,"AC073508.1"
"ENSG00000243955",242.00431810362,1.80431840673945,0.359349099006537,5.02107396881669,5.13833656794034e-07,2.47310920466564e-05,3.49264111492055,"GSTA1"
"ENSG00000153002",103840.758020358,1.80071954424027,0.450009325571373,4.00151606181475,6.29379219525147e-05,0.000986764791199711,3.48393943494594,"CPB1"
"ENSG00000162344",12.6326236429989,1.78494029550118,0.330062531010896,5.40788525748247,6.37732575889801e-08,4.80436936626081e-06,3.44604202487664,"FGF19"
"ENSG00000183862",17.7226857134746,1.77463127599293,0.503628379301994,3.52369196996501,0.000425578684298788,0.00411204646679891,3.42150552257091,"CNGA2"
"ENSG00000134827",1296.34884307722,1.76832232888211,0.360688711186238,4.90262731835003,9.45632857011516e-07,3.87075014422678e-05,3.40657584777362,"TCN1"
"ENSG00000214814",22.5713519330263,1.76554440577292,0.2605476870158,6.77628124814578,1.23308529891885e-11,3.80647613328923e-09,3.40002276441162,"FER1L6"
"ENSG00000147255",1018.68798132016,1.74895397405738,0.328084433187343,5.33080450378664,9.77786334040092e-08,6.85082234228521e-06,3.36114777735745,"IGSF1"
"ENSG00000137252",6.45786016841595,1.72960325436753,0.446734419670878,3.87165881608536,0.00010809719016821,0.00147836703742962,3.31636604684486,"HCRTR2"
"ENSG00000180694",2841.81462266553,1.72444385084905,0.202713571990471,8.50680018075014,1.78799289446166e-17,2.14286243156771e-14,3.30452715425074,"TMEM64"
"ENSG00000156687",10.2453804639686,1.71088411581283,0.348067036551815,4.91538679664122,8.86073397530054e-07,3.70216097892786e-05,3.27361376343914,"UNC5D"
"ENSG00000167531",159.345011064157,1.67558641509332,0.664141229353083,2.52293690112486,0.0116379281435538,0.048553913843324,3.19449175291765,"LALBA"
"ENSG00000162040",19.4896370837446,1.65570406101614,0.376502056303774,4.39759632993948,1.09456309600655e-05,0.000263047303353176,3.15076916291828,"HS3ST6"
"ENSG00000104055",120.862265651882,1.6022359623647,0.241375921460314,6.63792789550523,3.18123403451792e-11,8.52233884705972e-09,3.03613504541116,"TGM5"
"ENSG00000223350",190.206784888819,1.60137203531861,0.329714619566978,4.85684267631726,1.19272283123224e-06,4.62682991311573e-05,3.03431746518785,"IGLV9-49"
"ENSG00000265702",16.0280693952974,1.59214181981017,0.262777944069377,6.05888681201428,1.37066796543079e-09,2.16746390561281e-07,3.01496618176034,"AC005821.1"
"ENSG00000162621",2.73273876780706,1.56460286087009,0.521089973337012,3.00255798600482,0.00267720964994828,0.0162924577871938,2.95796065122865,"LRRC53"
"ENSG00000015592",11.4174467391781,1.55672343694821,0.26823352655358,5.80361246019427,6.49011871284391e-09,7.53247097271148e-07,2.9418494883441,"STMN4"
